system,split,beam_size,normalization,weight_token_logprob_avg,weight_summac_style_score,weight_factcc_style_score,weight_entity_support_score,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
custom_0062,val_tune,8,zscore,0.0,0.5,0.5,0.5,0.464146,0.230783,0.376064,0.376064,0.269899,0.40806,0.660158,0.446039,23.859375
custom_0093,val_tune,8,zscore,0.0,0.75,0.75,0.75,0.464146,0.230783,0.376064,0.376064,0.269899,0.40806,0.660158,0.446039,23.859375
custom_0118,val_tune,8,zscore,0.0,1.0,0.75,0.75,0.464146,0.230783,0.376064,0.376064,0.269899,0.40806,0.660158,0.446039,23.859375
custom_0124,val_tune,8,zscore,0.0,1.0,1.0,1.0,0.464146,0.230783,0.376064,0.376064,0.269899,0.40806,0.660158,0.446039,23.859375
custom_0094,val_tune,8,zscore,0.0,0.75,0.75,1.0,0.466511,0.232545,0.378429,0.378429,0.269635,0.40806,0.660331,0.446009,23.90625
custom_0068,val_tune,8,zscore,0.0,0.5,0.75,0.75,0.466421,0.232299,0.379119,0.379119,0.26673,0.410708,0.660573,0.446004,24.0
custom_0069,val_tune,8,zscore,0.0,0.5,0.75,1.0,0.466733,0.233415,0.37943,0.37943,0.266528,0.410628,0.660716,0.445957,23.984375
custom_0037,val_tune,8,zscore,0.0,0.25,0.5,0.5,0.4662,0.23345,0.379559,0.379559,0.265392,0.41155,0.660653,0.445865,23.953125
custom_0074,val_tune,8,zscore,0.0,0.5,1.0,1.0,0.4662,0.23345,0.379559,0.379559,0.265392,0.41155,0.660653,0.445865,23.953125
custom_0066,val_tune,8,zscore,0.0,0.5,0.75,0.25,0.463933,0.231791,0.376437,0.376437,0.268973,0.410875,0.657508,0.445785,24.140625
custom_0096,val_tune,8,zscore,0.0,0.75,1.0,0.25,0.463933,0.231791,0.376437,0.376437,0.268973,0.410875,0.657508,0.445785,24.140625
custom_0091,val_tune,8,zscore,0.0,0.75,0.75,0.25,0.464327,0.231969,0.376674,0.376674,0.26991,0.409819,0.657415,0.445715,24.09375
custom_0116,val_tune,8,zscore,0.0,1.0,0.75,0.25,0.464327,0.231969,0.376674,0.376674,0.26991,0.409819,0.657415,0.445715,24.09375
custom_0121,val_tune,8,zscore,0.0,1.0,1.0,0.25,0.464327,0.231969,0.376674,0.376674,0.26991,0.409819,0.657415,0.445715,24.09375
custom_0095,val_tune,8,zscore,0.0,0.75,1.0,0.0,0.464538,0.231658,0.377102,0.377102,0.268922,0.410952,0.657207,0.445694,24.140625
summac_plus_factcc,val_tune,8,zscore,0.0,0.5,0.5,0.0,0.464888,0.231835,0.377295,0.377295,0.26991,0.409832,0.657325,0.445689,24.109375
custom_0030,val_tune,8,zscore,0.0,0.25,0.25,0.0,0.464888,0.231835,0.377295,0.377295,0.26991,0.409832,0.657325,0.445689,24.109375
custom_0060,val_tune,8,zscore,0.0,0.5,0.5,0.0,0.464888,0.231835,0.377295,0.377295,0.26991,0.409832,0.657325,0.445689,24.109375
custom_0090,val_tune,8,zscore,0.0,0.75,0.75,0.0,0.464888,0.231835,0.377295,0.377295,0.26991,0.409832,0.657325,0.445689,24.109375
custom_0120,val_tune,8,zscore,0.0,1.0,1.0,0.0,0.464888,0.231835,0.377295,0.377295,0.26991,0.409832,0.657325,0.445689,24.109375
custom_0115,val_tune,8,zscore,0.0,1.0,0.75,0.0,0.464888,0.231835,0.377295,0.377295,0.269951,0.409761,0.657195,0.445635,24.109375
custom_0222,val_tune,8,zscore,0.25,0.75,1.0,0.5,0.464352,0.233312,0.376843,0.376843,0.268421,0.40755,0.660255,0.445409,24.1875
custom_0224,val_tune,8,zscore,0.25,0.75,1.0,1.0,0.464263,0.233066,0.377533,0.377533,0.265516,0.410199,0.660497,0.445404,24.28125
custom_0223,val_tune,8,zscore,0.25,0.75,1.0,0.75,0.464658,0.233244,0.37777,0.37777,0.266453,0.409143,0.660404,0.445333,24.234375
custom_0036,val_tune,8,zscore,0.0,0.25,0.5,0.25,0.462065,0.230346,0.375583,0.375583,0.254067,0.423388,0.657893,0.445116,24.0
custom_0072,val_tune,8,zscore,0.0,0.5,1.0,0.5,0.462065,0.230346,0.375583,0.375583,0.254067,0.423388,0.657893,0.445116,24.0
custom_0217,val_tune,8,zscore,0.25,0.75,0.75,0.5,0.463508,0.232419,0.376843,0.376843,0.268904,0.406156,0.660255,0.445105,24.1875
custom_0218,val_tune,8,zscore,0.25,0.75,0.75,0.75,0.463508,0.232419,0.376843,0.376843,0.268904,0.406156,0.660255,0.445105,24.1875
custom_0219,val_tune,8,zscore,0.25,0.75,0.75,1.0,0.463508,0.232419,0.376843,0.376843,0.268904,0.406156,0.660255,0.445105,24.1875
custom_0247,val_tune,8,zscore,0.25,1.0,1.0,0.5,0.463508,0.232419,0.376843,0.376843,0.268904,0.406156,0.660255,0.445105,24.1875
custom_0248,val_tune,8,zscore,0.25,1.0,1.0,0.75,0.463508,0.232419,0.376843,0.376843,0.268904,0.406156,0.660255,0.445105,24.1875
custom_0249,val_tune,8,zscore,0.25,1.0,1.0,1.0,0.463508,0.232419,0.376843,0.376843,0.268904,0.406156,0.660255,0.445105,24.1875
custom_0047,val_tune,8,zscore,0.0,0.25,1.0,0.5,0.463228,0.230859,0.376746,0.376746,0.253766,0.423342,0.658135,0.445081,24.046875
custom_0042,val_tune,8,zscore,0.0,0.25,0.75,0.5,0.46402,0.230859,0.377221,0.377221,0.253798,0.423113,0.65832,0.445077,23.84375
custom_0073,val_tune,8,zscore,0.0,0.5,1.0,0.75,0.46402,0.230859,0.377221,0.377221,0.253798,0.423113,0.65832,0.445077,23.84375
custom_0199,val_tune,8,zscore,0.25,0.5,1.0,1.0,0.466453,0.233151,0.37897,0.37897,0.263955,0.410199,0.660696,0.44495,24.265625
custom_0220,val_tune,8,zscore,0.25,0.75,1.0,0.0,0.464582,0.233692,0.377193,0.377193,0.268421,0.408976,0.657391,0.444929,24.171875
custom_0221,val_tune,8,zscore,0.25,0.75,1.0,0.25,0.464582,0.233692,0.377193,0.377193,0.268421,0.408976,0.657391,0.444929,24.171875
custom_0065,val_tune,8,zscore,0.0,0.5,0.75,0.0,0.46267,0.230182,0.375076,0.375076,0.257126,0.422434,0.655017,0.444859,24.015625
